EmpID,Employee_Name,DOB,Gender,MaritalDesc,EmploymentStatus,Department,DeptID,Salary,Position,CitizenDesc,DateofHire,DateofTermination,RecruitmentSource,PerformanceScore,Absences
10012,"Barbossa, Hector",07-04-1988,M ,Divorced,Active,IT/IS,3,92328,Data Analyst,US Citizen,11-10-2014,,Diversity Job Fair,Exceeds,9
10265,"Barone, Francesco  A",07/20/83,M ,Single,Active,Production       ,5,58709,Production Technician I,US Citizen,2/20/2012,,Google Search,Fully Meets,7
10066,"Barton, Nader",07/15/77,M ,Divorced,Voluntarily Terminated,Production       ,5,52505,Production Technician I,US Citizen,9/24/2012,04-06-2017,On-line Web application,Fully Meets,1
10061,"Bates, Norman",10/18/81,M ,Single,Terminated for Cause,Production       ,5,57834,Production Technician I,US Citizen,2/21/2011,08-04-2017,Google Search,Fully Meets,20
10023,"Beak, Kimberly  ",04/17/66,F,Married,Active,Production       ,5,70131,Production Technician II,US Citizen,7/21/2016,,Employee Referral,Exceeds,16
10055,"Beatrice, Courtney ",10/27/70,F,Single,Active,Production       ,5,59026,Production Technician I,Eligible NonCitizen,04-04-2011,,Google Search,Fully Meets,12
10245,"Becker, Renee",04-04-1986,F,Single,Terminated for Cause,IT/IS,3,110000,Database Administrator,US Citizen,07-07-2014,09-12-2015,Google Search,Fully Meets,8
10277,"Becker, Scott",04-06-1979,M ,Single,Active,Production       ,5,53250,Production Technician I,US Citizen,07-08-2013,,LinkedIn,Fully Meets,13
10046,"Bernstein, Sean",12/22/70,M ,Single,Active,Production       ,5,51044,Production Technician I,US Citizen,04-02-2012,,Google Search,Fully Meets,13
10226,"Biden, Lowan  M",12/27/58,F,Divorced,Active,Production       ,5,64919,Production Technician I,US Citizen,8/19/2013,,Indeed,Fully Meets,2
10003,"Billis, Helen",09-01-1989,F,Married,Active,Production       ,5,62910,Production Technician I,US Citizen,07-07-2014,,Indeed,Exceeds,19
10294,"Blount, Dianna",09/21/90,F,Single,Active,Production       ,5,66441,Production Technician II,US Citizen,04-04-2011,,CareerBuilder,Needs Improvement,3
10267,"Bondwell, Betsy",01/16/67,F,Single,Voluntarily Terminated,Production       ,5,57815,Production Technician II,US Citizen,01-10-2011,04-04-2014,Google Search,Fully Meets,5
10199,"Booth, Frank",07/30/64,M ,Single,Terminated for Cause,IT/IS,3,103613,Enterprise Architect,US Citizen,2/17/2014,2/19/2016,LinkedIn,Fully Meets,2
10081,"Boutwell, Bonalyn",04-04-1987,F,Married,Active,Admin Offices,1,106367,Sr. Accountant,US Citizen,2/16/2015,,Diversity Job Fair,Fully Meets,4
10175,"Bozzi, Charles",03-10-1970,M ,Single,Voluntarily Terminated,Production       ,5,74312,Production Manager,US Citizen,9/30/2013,08-07-2014,Indeed,Fully Meets,14
10177,"Brill, Donna",08/24/90,F,Married,Voluntarily Terminated,Production       ,5,53492,Production Technician I,US Citizen,04-02-2012,6/15/2013,Google Search,Fully Meets,6
10238,"Brown, Mia",11/24/87,F,Married,Active,Admin Offices,1,63000,Accountant I,US Citizen,10/27/2008,,Diversity Job Fair,Fully Meets,14
10184,"Buccheri, Joseph  ",07/28/83,M ,Single,Active,Production       ,5,65288,Production Technician II,US Citizen,9/29/2014,,Google Search,Fully Meets,9
10203,"Bugali, Josephine ",10/30/69,F,Separated,Active,Production       ,5,64375,Production Technician I,US Citizen,11-11-2013,,Diversity Job Fair,Fully Meets,17
10188,"Bunbury, Jessica",06-01-1964,F,Married,Voluntarily Terminated,Sales,6,74326,Area Sales Manager,Eligible NonCitizen,8/15/2011,08-02-2014,Google Search,Fully Meets,19
10107,"Burke, Joelle",03-02-1980,F,Single,Active,Production       ,5,63763,Production Technician II,US Citizen,03-05-2012,,Employee Referral,Fully Meets,3
10181,"Burkett, Benjamin ",08/19/77,M ,Married,Active,Production       ,5,62162,Production Technician II,US Citizen,04-04-2011,,Indeed,Fully Meets,15
10150,"Cady, Max ",11/22/66,M ,Single,Active,Software Engineering,4,77692,Software Engineering Manager,US Citizen,8/15/2011,,Google Search,Fully Meets,4
10001,"Candie, Calvin",08-09-1983,M ,Single,Active,Production       ,5,72640,Production Manager,US Citizen,1/28/2016,,Indeed,Exceeds,14
10085,"Carabbio, Judith",04-05-1987,F,Single,Active,Software Engineering,4,93396,Software Engineer,US Citizen,11-11-2013,,Indeed,Fully Meets,3
10115,"Carey, Michael  ",02-02-1983,M ,Single,Active,Production       ,5,52846,Production Technician I,US Citizen,3/31/2014,,LinkedIn,Fully Meets,14
10082,"Carr, Claudia  N",06-06-1986,F,Single,Active,IT/IS,3,100031,Sr. DBA,US Citizen,6/30/2016,,LinkedIn,Fully Meets,7
10040,"Carter, Michelle ",05/15/63,F,Single,Active,Sales,6,71860,Area Sales Manager,US Citizen,8/18/2014,,Indeed,Fully Meets,7
10067,"Chace, Beatrice ",01-02-1951,F,Single,Active,Production       ,5,61656,Production Technician I,US Citizen,9/29/2014,,Google Search,Fully Meets,11
10108,"Champaigne, Brian",02-09-1972,M ,Married,Active,IT/IS,3,110929,BI Director,US Citizen,09-06-2016,,Indeed,Fully Meets,8
10210,"Chan, Lin",02-12-1979,F,Single,Active,Production       ,5,54237,Production Technician I,US Citizen,05-12-2014,,Indeed,Fully Meets,11
10154,"Chang, Donovan  E",08/24/83,M ,Single,Active,Production       ,5,60380,Production Technician I,US Citizen,07-08-2013,,LinkedIn,Fully Meets,4
10200,"Chigurh, Anton",06-11-1970,M ,Single,Active,Sales,6,66808,Area Sales Manager,Eligible NonCitizen,5/14/2012,,Employee Referral,Fully Meets,17
10240,"Chivukula, Enola",08/27/83,F,Single,Voluntarily Terminated,Production       ,5,64786,Production Technician I,US Citizen,6/27/2011,11/15/2015,Indeed,Fully Meets,3
10168,"Cierpiszewski, Caroline  ",05/31/88,F,Single,Active,Production       ,5,64816,Production Technician I,Non-Citizen,10-03-2011,,Indeed,Fully Meets,3
10220,"Clayton, Rick",09-05-1985,M ,Single,Active,IT/IS,3,68678,IT Support,US Citizen,09-05-2012,,Indeed,Fully Meets,2
10275,"Cloninger, Jennifer",08/31/81,F,Married,Voluntarily Terminated,Production       ,5,64066,Production Technician II,US Citizen,5/16/2011,01-07-2013,Google Search,Fully Meets,9
10269,"Close, Phil",11/25/78,M ,Married,Voluntarily Terminated,Production       ,5,59369,Production Technician II,US Citizen,8/30/2010,9/26/2011,Indeed,Fully Meets,6
10029,"Clukey, Elijian",08/26/80,M ,Married,Active,Production       ,5,50373,Production Technician I,US Citizen,07-06-2016,,Employee Referral,Exceeds,5
10261,"Cockel, James",09-08-1977,M ,Single,Active,Production       ,5,63108,Production Technician I,US Citizen,07-08-2013,,Employee Referral,Fully Meets,3
10292,"Cole, Spencer",08-12-1979,M ,Single,Terminated for Cause,Production       ,5,59144,Production Technician I,US Citizen,07-11-2011,9/23/2016,LinkedIn,Needs Improvement,16
10282,"Corleone, Michael",12/17/75,M ,Divorced,Active,Production       ,5,68051,Production Manager,US Citizen,7/20/2010,,CareerBuilder,Needs Improvement,3
10019,"Corleone, Vito",03/19/83,M ,Single,Active,Production       ,5,170500,Director of Operations,US Citizen,01-05-2009,,Indeed,Exceeds,15
10094,"Cornett, Lisa ",03/31/77,F,Married,Active,Production       ,5,63381,Production Technician I,US Citizen,01-05-2015,,Indeed,Fully Meets,6
10193,"Costello, Frank",08/26/86,M ,Married,Active,IT/IS,3,83552,Data Analyst,US Citizen,3/30/2015,,Indeed,Fully Meets,2
10132,"Crimmings,   Jean",04-10-1987,F,Single,Active,Production       ,5,56149,Production Technician I,US Citizen,07-06-2016,,LinkedIn,Fully Meets,15
10083,"Cross, Noah",09-09-1965,M ,Single,Active,IT/IS,3,92329,Sr. Network Engineer,US Citizen,11-10-2014,,Employee Referral,Fully Meets,5
10099,"Daneault, Lynn",04/19/90,F,Single,Active,Sales,6,65729,Sales Manager,US Citizen,05-05-2014,,Indeed,Fully Meets,8
10212,"Daniele, Ann  ",01/18/52,F,Married,Active,IT/IS,3,85028,Sr. Network Engineer,US Citizen,11-10-2014,,LinkedIn,Fully Meets,19
10056,"Darson, Jene'ya ",11-05-1978,F,Married,Active,Production       ,5,57583,Production Technician I,US Citizen,07-02-2012,,Indeed,Fully Meets,1
10143,"Davis, Daniel",09/14/79,M ,Single,Active,Production       ,5,56294,Production Technician II,Eligible NonCitizen,11-07-2011,,LinkedIn,Fully Meets,6
10311,"Dee, Randy",04/15/88,M ,Married,Active,Production       ,6,56991,Production Technician I,US Citizen,07-09-2018,,Indeed,Fully Meets,2
10070,"DeGweck,  James",10/31/77,M ,Married,Voluntarily Terminated,Production       ,5,55722,Production Technician I,US Citizen,5/16/2011,06-08-2016,Indeed,Fully Meets,14
10155,"Del Bosque, Keyla",07-05-1979,F,Single,Active,Software Engineering,4,101199,Software Engineer,US Citizen,01-09-2012,,CareerBuilder,Fully Meets,8
10306,"Delarge, Alex",11-02-1975,M ,Single,Active,Sales,6,61568,Area Sales Manager,US Citizen,9/29/2014,,Indeed,PIP,5
10100,"Demita, Carla",02/25/51,F,Separated,Voluntarily Terminated,Production       ,5,58275,Production Technician II,US Citizen,04-04-2011,11-04-2015,Google Search,Fully Meets,1
10310,"Desimone, Carl ",04/19/67,M ,Married,Active,Production       ,5,53189,Production Technician I,US Citizen,07-07-2014,,Indeed,PIP,9
10197,"DeVito, Tommy",09-04-1983,M ,Single,Active,IT/IS,3,96820,BI Developer,US Citizen,2/15/2017,,Indeed,Fully Meets,15
10276,"Dickinson, Geoff ",11/15/82,M ,Single,Active,Production       ,5,51259,Production Technician I,US Citizen,05-12-2014,,Indeed,Fully Meets,1
10304,"Dietrich, Jenna  ",05/14/87,F,Single,Active,Sales,6,59231,Area Sales Manager,US Citizen,2/20/2012,,Website,PIP,17
10284,"DiNocco, Lily ",12-02-1978,F,Married,Active,Production       ,5,61584,Production Technician I,US Citizen,01-07-2013,,Indeed,Needs Improvement,6
10207,"Dobrin, Denisa  S",10-07-1986,F,Single,Active,Production       ,5,46335,Production Technician I,US Citizen,04-02-2012,,CareerBuilder,Fully Meets,15
10133,"Dolan, Linda",07/18/88,F,Married,Active,IT/IS,3,70621,IT Support,US Citizen,01-05-2015,,Employee Referral,Fully Meets,16
10028,"Dougall, Eric",07-09-1970,M ,Single,Active,IT/IS,3,138888,IT Manager - Support,US Citizen,01-05-2014,,Indeed,Exceeds,4
10006,"Driver, Elle",11-08-1988,F,Single,Active,Sales,6,74241,Area Sales Manager,US Citizen,01-10-2011,,Indeed,Exceeds,14
10105,"Dunn, Amy  ",11/28/73,F,Single,Active,Production       ,5,75188,Production Manager,US Citizen,9/18/2014,,Google Search,Fully Meets,4
10211,"Dunne, Amy",09/23/73,F,Married,Active,Production       ,5,62514,Production Technician I,US Citizen,4/26/2010,,Google Search,Fully Meets,6
10064,"Eaton, Marianne",09-05-1991,F,Married,Voluntarily Terminated,Production       ,5,60070,Production Technician I,US Citizen,04-04-2011,06-06-2017,Google Search,Fully Meets,7
10247,"Engdahl, Jean",05/31/74,M ,Single,Active,Production       ,5,48888,Production Technician I,US Citizen,11-10-2014,,LinkedIn,Fully Meets,8
10235,"England, Rex",08/25/78,M ,Married,Active,Production       ,5,54285,Production Technician I,US Citizen,3/31/2014,,Employee Referral,Fully Meets,3
10299,"Erilus, Angela",08/25/89,F,Separated,Active,Production       ,5,56847,Production Technician II,US Citizen,07-07-2014,,Indeed,PIP,5
10280,"Estremera, Miguel",09-02-1983,M ,Single,Terminated for Cause,Production       ,5,60340,Production Technician I,US Citizen,04-02-2012,9/27/2018,Google Search,Needs Improvement,16
10296,"Evensen, April",05-06-1989,F,Single,Terminated for Cause,Production       ,5,59124,Production Technician I,US Citizen,2/17/2014,2/25/2018,Google Search,Needs Improvement,19
10290,"Exantus, Susan",05/15/87,F,Married,Terminated for Cause,Software Engineering,4,99280,Software Engineer,US Citizen,05-02-2011,06-05-2013,Indeed,Needs Improvement,19
10263,"Faller, Megan ",09/22/78,F,Married,Active,Production       ,5,71776,Production Technician II,US Citizen,07-07-2014,,LinkedIn,Fully Meets,17
10136,"Fancett, Nicole",09/27/87,F,Single,Active,Production       ,5,65902,Production Technician II,US Citizen,2/17/2014,,LinkedIn,Fully Meets,7
10189,"Ferguson, Susan",04/14/55,F,Married,Voluntarily Terminated,Production       ,5,57748,Production Technician I,US Citizen,11-07-2011,5/17/2016,Google Search,Fully Meets,16
10308,"Fernandes, Nilson  ",10/18/89,M ,Married,Active,Production       ,5,64057,Production Technician I,US Citizen,05-11-2015,,Indeed,PIP,15
10309,"Fett, Boba",06/18/87,M ,Single,Active,IT/IS,3,53366,Network Engineer,US Citizen,3/30/2015,,LinkedIn,PIP,2
10049,"Fidelia,  Libby",03/16/81,F,Married,Active,Production       ,5,58530,Production Technician I,US Citizen,01-09-2012,,Google Search,Fully Meets,19
10093,"Fitzpatrick, Michael  J",10-01-1981,M ,Single,Voluntarily Terminated,Production       ,5,72609,Production Technician II,US Citizen,5/16/2011,6/24/2013,Google Search,Fully Meets,20
10163,"Foreman, Tanya",11-08-1983,F,Married,Voluntarily Terminated,Production       ,5,55965,Production Technician II,US Citizen,04-04-2011,01-09-2013,Google Search,Fully Meets,6
10305,"Forrest, Alex",07-07-1975,M ,Married,Terminated for Cause,Sales,6,70187,Area Sales Manager,US Citizen,9/29/2014,8/19/2018,Employee Referral,PIP,7
10015,"Foss, Jason",07-05-1980,M ,Single,Active,IT/IS,3,178000,IT Director,US Citizen,4/15/2011,,Indeed,Exceeds,15
10080,"Foster-Baker, Amy",04/16/79,F,Married,Active,Admin Offices,1,99351,Sr. Accountant,US Citizen,01-05-2009,,Other,Fully Meets,3
10258,"Fraval, Maruk ",08/28/63,M ,Single,Active,Sales,6,67251,Area Sales Manager,US Citizen,09-06-2011,,CareerBuilder,Fully Meets,7
10273,"Galia, Lisa",07-06-1968,F,Single,Active,IT/IS,3,65707,IT Support,US Citizen,05-01-2010,,LinkedIn,Fully Meets,1
10111,"Garcia, Raul",09/15/85,M ,Single,Active,Production       ,5,52249,Production Technician I,US Citizen,3/30/2015,,Employee Referral,Fully Meets,5
10257,"Gaul, Barbara",12-02-1983,F,Single,Active,Production       ,5,53171,Production Technician I,US Citizen,5/16/2011,,LinkedIn,Fully Meets,12
10159,"Gentry, Mildred",10-01-1990,F,Married,Active,Production       ,5,51337,Production Technician I,US Citizen,3/30/2015,,LinkedIn,Fully Meets,19
10122,"Gerke, Melisa",05/15/70,F,Divorced,Voluntarily Terminated,Production       ,5,51505,Production Technician I,US Citizen,11-07-2011,11/15/2016,Diversity Job Fair,Fully Meets,2
10142,"Gill, Whitney  ",07-10-1971,F,Widowed,Terminated for Cause,Sales,6,59370,Area Sales Manager,US Citizen,07-07-2014,09-05-2015,CareerBuilder,Fully Meets,7
10283,"Gilles, Alex",08-09-1974,M ,Married,Voluntarily Terminated,Production       ,5,54933,Production Technician I,US Citizen,04-02-2012,6/25/2015,Diversity Job Fair,Needs Improvement,15
10018,"Girifalco, Evelyn",05-08-1980,F,Single,Active,Production       ,5,57815,Production Technician I,US Citizen,9/29/2014,,Indeed,Exceeds,3
10255,"Givens, Myriam",09/22/89,F,Single,Active,Sales,6,61555,Area Sales Manager,US Citizen,2/16/2015,,Indeed,Fully Meets,20
10246,"Goble, Taisha",10/23/71,F,Single,Terminated for Cause,IT/IS,3,114800,Database Administrator,US Citizen,2/16/2015,3/15/2015,Indeed,Fully Meets,10
10228,"Goeth, Amon",11/24/89,M ,Married,Active,IT/IS,3,74679,IT Support,US Citizen,3/30/2015,,LinkedIn,Fully Meets,20
10243,"Gold, Shenice  ",06/18/92,F,Single,Active,Production       ,5,53018,Production Technician I,US Citizen,11-11-2013,,Indeed,Fully Meets,7
10031,"Gonzalez, Cayo",09/29/69,M ,Divorced,Active,Production       ,5,59892,Production Technician I,US Citizen,07-11-2011,,Diversity Job Fair,Exceeds,1
10300,"Gonzalez, Juan",10-12-1964,M ,Married,Voluntarily Terminated,Production       ,5,68898,Production Technician II,US Citizen,4/26/2010,5/30/2011,Diversity Job Fair,PIP,10
10101,"Gonzalez, Maria",04/16/81,F,Separated,Active,IT/IS,3,61242,IT Support,US Citizen,01-05-2015,,Employee Referral,Fully Meets,11
10237,"Good, Susan",05/25/86,F,Married,Active,Production       ,5,66825,Production Technician II,US Citizen,05-12-2014,,LinkedIn,Fully Meets,20
10051,"Gordon, David",05/21/79,M ,Married,Active,Production       ,5,48285,Production Technician I,US Citizen,07-02-2012,,LinkedIn,Fully Meets,2
10218,"Gosciminski, Phylicia  ",12-08-1983,F,Separated,Active,Production       ,5,66149,Production Technician II,US Citizen,9/30/2013,,Google Search,Fully Meets,1
10256,"Goyal, Roxana",10-09-1974,F,Married,Active,Production       ,5,49256,Production Technician I,US Citizen,8/19/2013,,LinkedIn,Fully Meets,3
10098,"Gray, Elijiah  ",07-11-1981,M ,Divorced,Active,Production       ,5,62957,Production Manager,US Citizen,06-02-2015,,Employee Referral,Fully Meets,2
10059,"Gross, Paula",05/21/83,F,Divorced,Voluntarily Terminated,Production       ,5,63813,Production Technician I,US Citizen,2/21/2011,01-11-2014,CareerBuilder,Fully Meets,17
10234,"Gruber, Hans",06/30/89,M ,Married,Active,IT/IS,3,99020,BI Developer,US Citizen,4/20/2017,,Indeed,Fully Meets,8
10109,"Guilianno, Mike",02-09-1969,M ,Single,Voluntarily Terminated,Sales,6,71707,Area Sales Manager,US Citizen,03-07-2012,10/31/2014,LinkedIn,Fully Meets,20
10125,"Handschiegl, Joanne",03/23/77,F,Married,Active,Production       ,5,54828,Production Technician I,US Citizen,11/28/2011,,Google Search,Fully Meets,13
10074,"Hankard, Earnest",08-10-1988,M ,Single,Active,Production       ,5,64246,Production Technician II,US Citizen,11-11-2013,,LinkedIn,Fully Meets,20
10097,"Harrington, Christie ",08/18/52,F,Single,Voluntarily Terminated,Production       ,5,52177,Production Technician I,US Citizen,01-09-2012,12/15/2015,CareerBuilder,Fully Meets,8
10007,"Harrison, Kara",05-02-1974,F,Married,Active,Production       ,5,62065,Production Technician I,US Citizen,05-12-2014,,CareerBuilder,Exceeds,5
10129,"Heitzman, Anthony",01-04-1984,M ,Single,Active,Production       ,5,46998,Production Technician I,US Citizen,8/13/2012,,Google Search,Fully Meets,1
10075,"Hendrickson, Trina",08/27/72,F,Single,Voluntarily Terminated,Production       ,5,68099,Production Technician II,US Citizen,01-10-2011,6/18/2013,CareerBuilder,Fully Meets,15
10167,"Hitchcock, Alfred",09/14/88,M ,Married,Active,Sales,6,70545,Area Sales Manager,US Citizen,8/18/2014,,Indeed,Fully Meets,9
10195,"Homberger, Adrienne  J",02/16/84,F,Married,Voluntarily Terminated,Production       ,5,63478,Production Technician II,Non-Citizen,8/15/2011,04-07-2012,Indeed,Fully Meets,16
10112,"Horton, Jayne",02/21/84,F,Single,Active,IT/IS,3,97999,Database Administrator,US Citizen,3/30/2015,,Indeed,Fully Meets,4
10272,"Houlihan, Debra",03/17/66,F,Married,Active,Sales,6,180000,Director of Sales,US Citizen,05-05-2014,,LinkedIn,Fully Meets,19
10182,"Howard, Estelle",09/16/85,F,Married,Terminated for Cause,Admin Offices,1,49920,Administrative Assistant,US Citizen,2/16/2015,4/15/2015,Indeed,Fully Meets,6
10248,"Hudson, Jane",06-10-1986,F,Single,Active,Production       ,5,55425,Production Technician I,US Citizen,2/20/2012,,LinkedIn,Fully Meets,4
10201,"Hunts, Julissa",03-11-1984,F,Single,Active,Production       ,5,69340,Production Technician II,US Citizen,06-06-2016,,LinkedIn,Fully Meets,4
10214,"Hutter, Rosalie",05-07-1992,F,Separated,Active,Production       ,5,64995,Production Technician II,US Citizen,06-05-2015,,Indeed,Fully Meets,6
10160,"Huynh, Ming",09/22/76,F,Divorced,Voluntarily Terminated,Production       ,5,68182,Production Technician II,US Citizen,2/21/2011,04-01-2013,Google Search,Fully Meets,18
10289,"Immediato, Walter",11/15/76,M ,Married,Voluntarily Terminated,Production       ,5,83082,Production Manager,US Citizen,2/21/2011,9/24/2012,Indeed,Needs Improvement,4
10139,"Ivey, Rose ",01/28/91,F,Single,Active,Production       ,5,51908,Production Technician I,US Citizen,8/19/2013,,Indeed,Fully Meets,14
10227,"Jackson, Maryellen",09-11-1972,F,Single,Active,Production       ,5,61242,Production Technician I,US Citizen,11-05-2012,,LinkedIn,Fully Meets,7
10236,"Jacobi, Hannah  ",03/22/66,F,Divorced,Active,Production       ,5,45069,Production Technician I,US Citizen,9/30/2013,,Employee Referral,Fully Meets,7
10009,"Jeannite, Tayana",11-06-1986,F,Divorced,Active,Production       ,5,60724,Production Technician II,US Citizen,07-05-2011,,LinkedIn,Exceeds,11
10060,"Jhaveri, Sneha  ",04/13/64,F,Separated,Active,Production       ,5,60436,Production Technician I,US Citizen,01-06-2014,,LinkedIn,Fully Meets,9
10034,"Johnson, George",08/19/59,M ,Married,Voluntarily Terminated,Production       ,5,46837,Production Technician I,US Citizen,11-07-2011,4/29/2018,CareerBuilder,Exceeds,9
10156,"Johnson, Noelle ",11-07-1986,F,Married,Active,IT/IS,3,105700,Database Administrator,US Citizen,01-05-2015,,Indeed,Fully Meets,2
10036,"Johnston, Yen",09-08-1969,F,Single,Active,Production       ,5,63322,Production Technician II,US Citizen,07-07-2014,,LinkedIn,Exceeds,1
10138,"Jung, Judy  ",04/17/86,F,Married,Voluntarily Terminated,Production       ,5,61154,Production Technician I,US Citizen,01-10-2011,04-01-2016,CareerBuilder,Fully Meets,4
10244,"Kampew, Donysha",11-11-1989,F,Single,Voluntarily Terminated,Sales,6,68999,Sales Manager,US Citizen,11-07-2011,4/24/2014,Google Search,Fully Meets,2
10192,"Keatts, Kramer ",01/19/76,M ,Single,Active,Production       ,5,50482,Production Technician I,US Citizen,9/30/2013,,Indeed,Fully Meets,10
10231,"Khemmich, Bartholemew",11/27/79,M ,Single,Active,Sales,6,65310,Area Sales Manager,US Citizen,8/19/2013,,Indeed,Fully Meets,13
10089,"King, Janet",09/21/54,F,Married,Active,Executive Office,2,250000,President & CEO,US Citizen,07-02-2012,,Indeed,Fully Meets,10
10166,"Kinsella, Kathleen  ",12-08-1973,F,Married,Voluntarily Terminated,Production       ,5,54005,Production Technician I,US Citizen,9/26/2011,06-04-2015,Google Search,Fully Meets,16
10170,"Kirill, Alexandra  ",10-08-1970,F,Married,Voluntarily Terminated,Production       ,5,45433,Production Technician I,US Citizen,9/26/2011,01-09-2014,Google Search,Fully Meets,6
10208,"Knapp, Bradley  J",11-10-1977,M ,Single,Active,Production       ,5,46654,Production Technician I,US Citizen,2/17/2014,,LinkedIn,Fully Meets,3
10176,"Kretschmer, John",02-02-1980,M ,Married,Active,Production       ,5,63973,Production Technician I,US Citizen,01-10-2011,,Indeed,Fully Meets,17
10165,"Kreuger, Freddy",02/24/69,M ,Single,Active,Sales,6,71339,Area Sales Manager,US Citizen,03-07-2011,,Diversity Job Fair,Fully Meets,20
10113,"Lajiri,  Jyoti",04/23/86,M ,Married,Active,IT/IS,3,93206,Sr. Network Engineer,US Citizen,11-10-2014,,Employee Referral,Fully Meets,7
10092,"Landa, Hans",07-01-1972,M ,Married,Terminated for Cause,Production       ,5,82758,Production Manager,US Citizen,01-10-2011,12-12-2015,Employee Referral,Fully Meets,9
10106,"Langford, Lindsey",07/25/79,F,Divorced,Voluntarily Terminated,Production       ,5,66074,Production Technician II,US Citizen,01-07-2013,3/31/2014,Indeed,Fully Meets,20
10052,"Langton, Enrico",12-09-1986,M ,Married,Active,Production       ,5,46120,Production Technician I,US Citizen,07-09-2012,,LinkedIn,Fully Meets,13
10038,"LaRotonda, William  ",04/26/84,M ,Divorced,Active,Admin Offices,1,64520,Accountant I,US Citizen,01-06-2014,,Website,Fully Meets,3
10249,"Latif, Mohammed",05-09-1984,M ,Married,Voluntarily Terminated,Production       ,5,61962,Production Technician II,US Citizen,04-02-2012,4/15/2013,Google Search,Fully Meets,20
10232,"Le, Binh",06/14/87,F,Single,Active,IT/IS,3,81584,Senior BI Developer,US Citizen,10-02-2016,,Indeed,Fully Meets,2
10087,"Leach, Dallas",01/17/79,F,Single,Voluntarily Terminated,Production       ,5,63676,Production Technician I,US Citizen,9/26/2011,8/19/2018,CareerBuilder,Fully Meets,17
10134,"LeBlanc, Brandon  R",06-10-1984,M ,Married,Active,Admin Offices,1,93046,Shared Services Manager,US Citizen,01-05-2016,,CareerBuilder,Fully Meets,20
10251,"Lecter, Hannibal",09-02-1982,M ,Married,Active,Production       ,5,64738,Production Technician I,US Citizen,5/14/2012,,Google Search,Fully Meets,10
10103,"Leruth, Giovanni",12/27/88,M ,Separated,Active,Sales,6,70468,Area Sales Manager,US Citizen,4/30/2012,,Website,Fully Meets,16
10017,"Liebig, Ketsia",10/26/81,F,Married,Active,Production       ,5,77915,Production Manager,US Citizen,9/30/2013,,Website,Exceeds,11
10186,"Linares, Marilyn ",03/26/81,F,Married,Voluntarily Terminated,Production       ,5,52624,Production Technician I,US Citizen,07-05-2011,9/26/2018,Indeed,Fully Meets,16
10137,"Linden, Mathew",03/19/79,M ,Married,Active,Production       ,5,63450,Production Technician II,US Citizen,07-08-2013,,LinkedIn,Fully Meets,7
10008,"Lindsay, Leonara ",10-05-1988,F,Single,Active,IT/IS,3,51777,IT Support,US Citizen,1/21/2011,,Diversity Job Fair,Exceeds,14
10096,"Lundy, Susan",12/26/76,F,Widowed,Voluntarily Terminated,Production       ,5,67237,Production Technician II,US Citizen,07-08-2013,9/15/2016,LinkedIn,Fully Meets,15
10035,"Lunquist, Lisa",03/28/82,F,Single,Active,Production       ,5,73330,Production Technician II,US Citizen,8/19/2013,,Indeed,Exceeds,19
